from_bus,to_bus,r,x,b,rateA,ratio
1,2,5.770332,19.024956,353.7890809471173,180.0,1.0
1,3,2.456676,8.074656,150.70857700188228,180.0,1.0
4,5,0.3351744,1.5197112,29.25027834602151,180.0,1.0
3,5,4.589604,20.56752,395.5751928700053,180.0,1.0
5,6,2.266236,10.28376,198.6233186734604,180.0,1.0
6,7,0.8741196,3.961152,76.60787185862777,180.0,1.0
8,9,2.90421,36.302625,2589.6246429011044,700.0,1.0
9,10,3.070845,38.32605,2741.168942141445,700.0,1.0
4,11,3.980196,13.102272,243.4737454706934,180.0,1.0
5,11,3.865932,12.988008,242.08087507326374,180.0,1.0
11,12,1.133118,3.732624,69.92209395096572,180.0,1.0
2,12,3.561228,11.731104,218.95922647593247,180.0,1.0
3,12,9.217296,30.4704,565.5053813564159,180.0,1.0
7,12,1.6415928,6.47496,121.7368727353467,180.0,1.0
11,13,4.23729,13.921164,261.30248655779224,180.0,1.0
12,14,4.09446,13.464108,252.9452641732146,180.0,1.0
13,15,14.168736,46.543536,873.0511651088707,180.0,1.0
14,15,11.33118,37.1358,699.2209395096571,180.0,1.0
12,16,4.037328,15.882696,298.0742650499335,180.0,1.0
15,17,2.513808,8.322228,618.4344564587407,180.0,1.0
16,17,8.645976,34.298244,649.0776052021918,180.0,1.0
17,18,2.342412,9.61722,180.79457758636156,180.0,1.0
18,19,2.1310236,9.388692,159.06579938645984,180.0,1.0
19,20,4.799088,22.28148,415.0753784340196,180.0,1.0
15,19,2.28528,7.503336,140.67991014038918,180.0,1.0
20,21,3.485052,16.168356,300.86000584479274,180.0,1.0
21,22,3.980196,18.47268,342.6461177676806,180.0,1.0
22,23,6.513048,30.27996,562.7196405615567,180.0,1.0
23,24,2.57094,9.369648,693.6494579199389,180.0,1.0
23,25,2.970864,15.2352,1203.440023379171,180.0,1.0
25,27,6.055992,31.04172,2457.0233810658074,180.0,1.0
27,28,3.6431172,16.28262,300.86000584479274,180.0,1.0
28,29,4.513428,17.958492,331.50315458824394,180.0,1.0
8,30,5.1299775,59.9886,1145.4966148460996,700.0,1.0
26,30,9.5100975,102.36149999999999,2023.5621133857169,700.0,1.0
17,31,9.026856,29.765772,555.7552885744087,180.0,1.0
29,31,2.056752,6.303564,115.60824298665646,180.0,1.0
23,32,6.036948,21.957732,1633.836976184916,180.0,1.0
31,32,5.675112,18.75834,349.61046975482856,180.0,1.0
27,32,4.361076,14.37822,268.26683854494013,180.0,1.0
15,33,7.23672,23.690736,444.882804939013,180.0,1.0
19,34,14.321088,47.03868,880.2940911755048,180.0,1.0
35,36,0.4265856,1.942488,37.32892665111317,180.0,1.0
35,37,2.09484,9.464868,183.58031838122076,180.0,1.0
33,37,7.90326,27.04248,509.7905654592321,180.0,1.0
34,36,1.6587324,5.103792,79.11503857400106,180.0,1.0
34,37,0.4875264,1.790136,137.05844710707223,180.0,1.0
37,39,6.113124,20.18664,376.0750073059909,180.0,1.0
37,40,11.293092,31.99392,585.0055669204304,180.0,1.0
30,38,5.52276,64.2735,940.4660923444632,700.0,1.0
39,40,3.504096,11.52162,216.17348568107332,180.0,1.0
40,41,2.76138,9.274428,170.20876256589665,180.0,1.0
40,42,10.56942,34.85052,649.0776052021918,180.0,1.0
41,42,7.80804,25.7094,479.147416715781,180.0,1.0
43,44,11.578752,46.733976,845.1937571602789,180.0,1.0
34,43,7.865172,32.012964,588.6270299537473,180.0,1.0
44,45,4.265856,17.158644,312.0029690242295,180.0,1.0
45,46,7.6176,25.823664,462.43297194662586,180.0,1.0
46,47,7.23672,24.18588,440.1470455877524,180.0,1.0
46,48,11.445444,35.99316,657.4348275867692,180.0,1.0
