bus,is_slack,is_pv,is_pq
1,0,1,0
2,0,0,1
3,0,0,1
4,0,1,0
5,0,0,1
6,0,1,0
7,0,0,1
8,0,1,0
9,0,0,1
10,0,1,0
11,0,0,1
12,0,1,0
13,0,0,1
14,0,0,1
15,0,1,0
16,0,0,1
17,0,0,1
18,0,1,0
19,0,1,0
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,1,0
25,0,1,0
26,0,1,0
27,0,1,0
28,0,0,1
29,0,0,1
30,0,0,1
31,0,1,0
32,0,1,0
33,0,0,1
34,0,1,0
35,0,0,1
36,0,1,0
37,0,0,1
38,0,0,1
39,0,0,1
40,0,1,0
41,0,0,1
42,0,1,0
43,0,0,1
44,0,0,1
45,0,0,1
46,0,1,0
47,0,0,1
48,0,0,1
49,0,1,0
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,1,0
55,0,1,0
56,0,1,0
57,0,0,1
58,0,0,1
59,0,1,0
60,0,0,1
61,0,1,0
62,0,1,0
63,0,0,1
64,0,0,1
65,0,1,0
66,0,1,0
67,0,0,1
68,0,0,1
69,1,0,0
70,0,1,0
71,0,0,1
72,0,1,0
73,0,1,0
74,0,1,0
75,0,0,1
76,0,1,0
77,0,1,0
78,0,0,1
79,0,0,1
80,0,1,0
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,1,0
86,0,0,1
87,0,1,0
88,0,0,1
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,1,0
100,0,1,0
101,0,0,1
102,0,0,1
103,0,1,0
104,0,1,0
105,0,1,0
106,0,0,1
107,0,1,0
108,0,0,1
109,0,0,1
110,0,1,0
111,0,1,0
112,0,1,0
113,0,1,0
114,0,0,1
115,0,0,1
116,0,1,0
117,0,0,1
118,0,0,1
