outage_from,outage_to,outage_line_idx
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
4,11,8
62,66,93
62,67,94
29,31,36
8,30,33
